r,d
0,1
0.01,0.999650061
0.02,0.99860098
0.03,0.996854956
0.04,0.994415651
0.05,0.99128817
0.06,0.987479048
0.07,0.982996224
0.08,0.977849017
0.09,0.97204809
0.1,0.965605416
0.11,0.958534235
0.12,0.950849009
0.13,0.942565374
0.14,0.933700085
0.15,0.924270963
0.16,0.914296831
0.17,0.903797453
0.18,0.892793471
0.19,0.881306336
0.2,0.869358235
0.21,0.856972028
0.22,0.844171167
0.23,0.830979628
0.24,0.817421831
0.25,0.803522574
0.26,0.789306948
0.27,0.774800269
0.28,0.760028003
0.29,0.74501569
0.3,0.729788874
0.31,0.714373031
0.32,0.698793502
0.33,0.683075421
0.34,0.667243655
0.35,0.65132274
0.36,0.635336817
0.37,0.619309581
0.38,0.603264221
0.39,0.587223372
0.4,0.571209064
0.41,0.55524268
0.42,0.539344913
0.43,0.523535729
0.44,0.507834333
0.45,0.492259137
0.46,0.476827733
0.47,0.461556872
0.48,0.446462441
0.49,0.431559451
0.5,0.41686202
0.51,0.402383365
0.52,0.3881358
0.53,0.374130729
0.54,0.360378648
0.55,0.346889151
0.56,0.333670934
0.57,0.320731806
0.58,0.308078703
0.59,0.295717699
0.6,0.283654026
0.61,0.271892095
0.62,0.260435513
0.63,0.249287109
0.64,0.238448959
0.65,0.227922413
0.66,0.217708123
0.67,0.207806068
0.68,0.19821559
0.69,0.188935423
0.7,0.179963721
0.71,0.171298094
0.72,0.16293564
0.73,0.154872977
0.74,0.147106274
0.75,0.139631286
0.76,0.132443386
0.77,0.125537595
0.78,0.118908618
0.79,0.112550868
0.8,0.106458504
0.81,0.100625457
0.82,0.095045458
0.83,0.089712066
0.84,0.0846187
0.85,0.079758656
0.86,0.075125142
0.87,0.070711292
0.88,0.066510197
0.89,0.062514922
0.9,0.058718526
0.91,0.055114083
0.92,0.051694701
0.93,0.048453534
0.94,0.045383803
0.95,0.042478806
0.96,0.039731935
0.97,0.037136684
0.98,0.034686664
0.99,0.032375607
1,0.030197383
